B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
6.767738819762805e-05,Metazoa,freshwater,Relative Growth Rate,-11.676247416207701,16.3,24.0,-132.08420408830114,-131.7765117806088,-129.96005348499452,210
7.495305786541247e-05,Metazoa,freshwater,Relative Growth Rate,-5.716529739065334,16.3,24.0,-175.88103586448656,-175.6457417468395,-173.04771892698724,211
7.443807544218009e-05,Metazoa,freshwater,Relative Growth Rate,-9.12184315966279,16.3,24.0,-143.11017643124333,-142.82446214552905,-140.792410264524,212
7.13014734091365e-05,Metazoa,freshwater,Relative Growth Rate,-11.74827315339257,16.3,24.0,-111.35005814461402,-110.95005814461402,-109.89533819525002,213
7.470879216317722e-05,Metazoa,freshwater,Relative Growth Rate,-16.724070846665033,16.3,24.0,-126.71191190319578,-126.37857856986246,-124.79473991435,214
7.060592377341215e-05,Metazoa,freshwater,Relative Growth Rate,-14.276653320585876,16.3,24.0,-145.250549031316,-144.96483474560173,-142.93278286459667,215
6.39534009002486e-05,Metazoa,freshwater,Relative Growth Rate,-15.99830129790924,16.3,24.0,-113.06367642611151,-112.66367642611151,-111.60895647674751,216
9.023537321294069e-05,Metazoa,freshwater,Relative Growth Rate,-7.972876337609613,16.3,24.0,-152.3327489678514,-152.0660823011847,-149.83310893568273,217
8.182181634804347e-05,Metazoa,freshwater,Relative Growth Rate,-8.425575972630456,16.3,24.0,-159.62088178540154,-159.37088178540154,-156.94976651171305,218
8.219532944082237e-05,Metazoa,freshwater,Relative Growth Rate,-12.014010167802965,16.3,24.0,-131.8892122341741,-131.58151992648177,-129.76506163086748,219
8.902795232187327e-05,Metazoa,freshwater,Relative Growth Rate,-4.783947252542658,16.3,24.0,-117.20360434306657,-116.83996797943021,-115.50875627068196,220
9.500277189507086e-05,Metazoa,freshwater,Relative Growth Rate,-5.472302489059731,16.3,24.0,-176.530064794711,-176.30784257248877,-173.54286797404902,221
0.00011576487962834362,Metazoa,freshwater,Relative Growth Rate,-5.610493250875692,16.3,24.0,-125.12498493292134,-124.81729262522903,-123.0008343296147,222
0.00018100880870491526,Metazoa,freshwater,Relative Growth Rate,-3.967781900650679,16.3,21.5,-81.89590147002728,-81.39590147002728,-80.98814619104515,223
9.697502460761339e-05,Metazoa,freshwater,Relative Growth Rate,-2.198119088368523,16.3,24.0,-119.35955839822131,-118.99592203458495,-117.6647103258367,224
9.95547317810309e-05,Metazoa,freshwater,Relative Growth Rate,-7.526859336891812,16.3,24.0,-146.33689061510992,-146.07022394844324,-143.83725058294127,225
0.00011123929526602236,Metazoa,freshwater,Relative Growth Rate,-4.149826963666397,16.3,24.0,-143.55328261480292,-143.28661594813624,-141.05364258263427,226
9.649527909281807e-05,Metazoa,freshwater,Relative Growth Rate,-3.2279650291513358,16.3,24.0,-166.79124130421047,-166.5559471865634,-163.95792436671115,227
